Timesteps,Simulation_2026-04-07_19-56-50,Simulation_2026-04-07_19-56-59,Simulation_2026-04-07_19-57-02,Simulation_2026-04-07_19-57-05,Simulation_2026-04-07_19-57-07
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,3,0
23,0,0,0,3,0
24,0,0,0,4,0
25,0,0,0,4,3
26,0,0,0,4,4
27,0,0,0,4,4
28,0,0,0,4,4
29,0,0,0,4,4
30,0,0,0,5,5
31,0,0,0,5,5
32,0,0,0,7,5
33,0,0,0,7,5
34,0,0,0,7,5
35,0,0,0,7,5
36,0,0,0,7,5
37,0,0,0,7,5
38,0,0,0,7,5
39,0,0,0,7,6
40,0,0,3,7,6
41,0,0,4,8,6
42,0,0,4,10,6
43,0,0,4,11,6
44,3,0,4,11,6
45,3,0,4,11,7
46,3,0,8,12,8
47,3,0,8,12,10
48,3,0,9,12,10
49,3,0,9,12,10
50,3,0,10,12,10
51,6,3,11,14,10
52,7,4,11,14,11
53,7,4,11,15,11
54,7,4,12,17,14
55,7,4,13,17,14
56,7,4,13,17,14
57,7,4,13,17,14
58,7,5,13,19,15
59,7,6,14,19,16
60,7,6,15,21,16
61,9,6,15,22,16
62,10,6,15,23,16
63,10,6,17,23,16
64,12,6,18,23,16
65,13,7,19,23,16
66,14,7,19,23,16
67,15,10,19,24,16
68,15,11,20,25,16
69,15,11,20,25,16
70,15,11,20,25,16
71,15,11,21,25,16
72,15,11,21,25,16
73,16,11,21,26,16
74,18,11,23,27,16
75,18,11,23,27,16
76,18,11,23,27,16
77,18,11,23,27,16
78,18,11,23,27,16
79,18,13,23,27,16
80,18,13,23,27,16
81,19,13,23,27,16
82,20,13,23,27,16
83,20,14,24,27,16
84,20,16,24,27,16
85,21,18,24,27,16
86,21,19,25,27,16
87,21,19,25,27,17
88,21,20,25,27,17
89,21,20,26,27,17
90,21,20,26,27,17
91,21,20,27,27,17
92,22,20,27,27,20
93,22,22,27,27,20
94,22,22,27,28,20
95,22,23,27,28,20
96,22,24,27,29,21
97,22,24,27,29,21
98,22,24,27,29,21
99,22,25,27,29,21
100,22,25,27,29,21
101,22,25,27,29,21
102,22,25,27,29,21
103,23,25,27,29,21
104,23,26,27,29,21
105,23,26,27,29,21
106,23,26,27,29,21
107,23,26,27,29,21
108,23,26,27,29,22
109,23,26,27,29,22
110,24,26,27,29,22
111,24,26,27,29,22
112,24,27,28,29,23
113,24,27,28,29,23
114,24,27,28,29,23
115,24,27,28,29,23
116,24,27,28,30,23
117,24,27,29,30,23
118,24,27,29,30,23
119,24,27,29,30,23
120,24,27,29,30,23
121,24,27,29,30,23
122,24,27,29,30,23
123,25,29,29,30,23
124,25,29,30,30,23
125,25,29,30,30,23
126,25,30,30,30,23
127,25,30,30,30,23
128,25,30,30,30,23
129,25,30,30,30,23
130,25,30,30,30,23
131,25,30,30,30,23
132,25,30,30,30,24
133,25,30,30,30,24
134,27,30,30,30,24
135,27,30,30,30,24
136,27,30,30,30,24
137,27,30,30,30,25
138,27,30,30,30,25
139,27,30,30,30,25
140,27,30,30,30,25
141,27,30,30,30,25
142,27,30,30,30,25
143,27,30,30,30,25
144,27,30,30,30,25
145,27,30,30,30,25
146,27,30,30,30,25
147,27,30,30,30,25
148,27,30,30,30,25
149,27,30,30,30,25
150,27,30,30,30,25
151,27,30,30,30,25
152,27,30,30,30,25
153,27,30,30,30,25
154,28,30,30,30,25
155,28,30,30,30,25
156,28,30,30,30,26
157,28,30,30,30,27
158,28,30,30,30,28
159,28,30,30,30,28
160,28,30,30,30,28
161,28,30,30,30,28
162,28,30,30,30,28
163,28,30,30,30,29
164,28,30,30,30,29
165,28,30,30,30,29
166,28,30,30,30,29
167,28,30,30,30,29
168,28,30,30,30,29
169,28,30,30,30,29
170,28,30,30,30,29
171,28,30,30,30,29
172,28,30,30,30,29
173,28,30,30,30,29
174,28,30,30,30,29
175,28,30,30,30,30
176,28,30,30,30,30
177,28,30,30,30,30
178,28,30,30,30,30
179,28,30,30,30,30
180,28,30,30,30,30
181,28,30,30,30,30
182,28,30,30,30,30
183,28,30,30,30,30
184,28,30,30,30,30
185,28,30,30,30,30
186,28,30,30,30,30
187,28,30,30,30,30
188,28,30,30,30,30
189,28,30,30,30,30
190,28,30,30,30,30
191,28,30,30,30,30
192,28,30,30,30,30
193,28,30,30,30,30
194,28,30,30,30,30
195,28,30,30,30,30
196,28,30,30,30,30
197,28,30,30,30,30
198,28,30,30,30,30
199,28,30,30,30,30
200,28,30,30,30,30
201,28,30,30,30,30
202,28,30,30,30,30
203,28,30,30,30,30
204,28,30,30,30,30
205,28,30,30,30,30
206,28,30,30,30,30
207,28,30,30,30,30
208,28,30,30,30,30
209,28,30,30,30,30
210,28,30,30,30,30
211,28,30,30,30,30
212,28,30,30,30,30
213,28,30,30,30,30
214,28,30,30,30,30
215,28,30,30,30,30
216,28,30,30,30,30
217,28,30,30,30,30
218,29,30,30,30,30
219,29,30,30,30,30
220,29,30,30,30,30
221,29,30,30,30,30
222,29,30,30,30,30
223,30,30,30,30,30
224,30,30,30,30,30
225,30,30,30,30,30
226,30,30,30,30,30
227,30,30,30,30,30
228,30,30,30,30,30
229,30,30,30,30,30
230,30,30,30,30,30
231,30,30,30,30,30
232,30,30,30,30,30
233,30,30,30,30,30
234,30,30,30,30,30
235,30,30,30,30,30
236,30,30,30,30,30
237,30,30,30,30,30
238,30,30,30,30,30
239,30,30,30,30,30
240,30,30,30,30,30
241,30,30,30,30,30
242,30,30,30,30,30
243,30,30,30,30,30
244,30,30,30,30,30
245,30,30,30,30,30
246,30,30,30,30,30
247,30,30,30,30,30
248,30,30,30,30,30
249,30,30,30,30,30
250,30,30,30,30,30
251,30,30,30,30,30
252,30,30,30,30,30
253,30,30,30,30,30
254,30,30,30,30,30
255,30,30,30,30,30
256,30,30,30,30,30
257,30,30,30,30,30
258,30,30,30,30,30
259,30,30,30,30,30
260,30,30,30,30,30
261,30,30,30,30,30
262,30,30,30,30,30
263,30,30,30,30,30
264,30,30,30,30,30
265,30,30,30,30,30
266,30,30,30,30,30
267,30,30,30,30,30
268,30,30,30,30,30
269,30,30,30,30,30
270,30,30,30,30,30
271,30,30,30,30,30
272,30,30,30,30,30
273,30,30,30,30,30
274,30,30,30,30,30
275,30,30,30,30,30
276,30,30,30,30,30
277,30,30,30,30,30
278,30,30,30,30,30
279,30,30,30,30,30
280,30,30,30,30,30
281,30,30,30,30,30
282,30,30,30,30,30
283,30,30,30,30,30
284,30,30,30,30,30
285,30,30,30,30,30
286,30,30,30,30,30
287,30,30,30,30,30
288,30,30,30,30,30
289,30,30,30,30,30
290,30,30,30,30,30
291,30,30,30,30,30
292,30,30,30,30,30
293,30,30,30,30,30
294,30,30,30,30,30
295,30,30,30,30,30
296,30,30,30,30,30
297,30,30,30,30,30
298,30,30,30,30,30
299,30,30,30,30,30
300,30,30,30,30,30
301,30,30,30,30,30
302,30,30,30,30,30
303,30,30,30,30,30
304,30,30,30,30,30
305,30,30,30,30,30
306,30,30,30,30,30
307,30,30,30,30,30
308,30,30,30,30,30
309,30,30,30,30,30
310,30,30,30,30,30
311,30,30,30,30,30
312,30,30,30,30,30
313,30,30,30,30,30
314,30,30,30,30,30
315,30,30,30,30,30
316,30,30,30,30,30
317,30,30,30,30,30
318,30,30,30,30,30
319,30,30,30,30,30
320,30,30,30,30,30
321,30,30,30,30,30
322,30,30,30,30,30
323,30,30,30,30,30
324,30,30,30,30,30
325,30,30,30,30,30
326,30,30,30,30,30
327,30,30,30,30,30
328,30,30,30,30,30
329,30,30,30,30,30
330,30,30,30,30,30
331,30,30,30,30,30
332,30,30,30,30,30
333,30,30,30,30,30
334,30,30,30,30,30
335,30,30,30,30,30
336,30,30,30,30,30
337,30,30,30,30,30
338,30,30,30,30,30
339,30,30,30,30,30
340,30,30,30,30,30
341,30,30,30,30,30
342,30,30,30,30,30
343,30,30,30,30,30
344,30,30,30,30,30
345,30,30,30,30,30
346,30,30,30,30,30
347,30,30,30,30,30
348,30,30,30,30,30
349,30,30,30,30,30
350,30,30,30,30,30
351,30,30,30,30,30
352,30,30,30,30,30
353,30,30,30,30,30
354,30,30,30,30,30
355,30,30,30,30,30
356,30,30,30,30,30
357,30,30,30,30,30
358,30,30,30,30,30
359,30,30,30,30,30
360,30,30,30,30,30
361,30,30,30,30,30
362,30,30,30,30,30
363,30,30,30,30,30
364,30,30,30,30,30
365,30,30,30,30,30
366,30,30,30,30,30
367,30,30,30,30,30
368,30,30,30,30,30
369,30,30,30,30,30
370,30,30,30,30,30
371,30,30,30,30,30
372,30,30,30,30,30
373,30,30,30,30,30
