Timestep,Oligomers,Aggregates
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,2,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,2,3
23,0,3
24,0,4
25,0,4
26,0,4
27,0,4
28,0,4
29,0,4
30,0,5
31,0,5
32,0,7
33,0,7
34,0,7
35,0,7
36,0,7
37,0,7
38,0,7
39,0,7
40,0,7
41,0,8
42,0,10
43,0,11
44,0,11
45,0,11
46,0,12
47,0,12
48,0,12
49,0,12
50,0,12
51,0,14
52,0,14
53,0,15
54,0,17
55,0,17
56,0,17
57,0,17
58,0,19
59,0,19
60,0,21
61,0,22
62,0,23
63,0,23
64,0,23
65,0,23
66,0,23
67,0,24
68,0,25
69,0,25
70,0,25
71,0,25
72,0,25
73,0,26
74,0,27
75,0,27
76,0,27
77,0,27
78,0,27
79,0,27
80,0,27
81,0,27
82,0,27
83,0,27
84,0,27
85,0,27
86,0,27
87,0,27
88,0,27
89,0,27
90,0,27
91,0,27
92,0,27
93,0,27
94,0,28
95,0,28
96,0,29
97,0,29
98,0,29
99,0,29
100,0,29
101,0,29
102,0,29
103,0,29
104,0,29
105,0,29
106,0,29
107,0,29
108,0,29
109,0,29
110,0,29
111,0,29
112,0,29
113,0,29
114,0,29
115,0,29
116,0,30
117,0,30
118,0,30
119,0,30
120,0,30
121,0,30
122,0,30
123,0,30
124,0,30
125,0,30
126,0,30
127,0,30
128,0,30
129,0,30
130,0,30
131,0,30
132,0,30
133,0,30
134,0,30
135,0,30
136,0,30
137,0,30
138,0,30
139,0,30
140,0,30
141,0,30
142,0,30
143,0,30
144,0,30
145,0,30
146,0,30
147,0,30
148,0,30
149,0,30
150,0,30
151,0,30
152,0,30
153,0,30
154,0,30
155,0,30
156,0,30
157,0,30
158,0,30
159,0,30
160,0,30
161,0,30
162,0,30
163,0,30
164,0,30
165,0,30
166,0,30
167,0,30
168,0,30
169,0,30
170,0,30
171,0,30
172,0,30
173,0,30
174,0,30
175,0,30
176,0,30
177,0,30
178,0,30
179,0,30
180,0,30
181,0,30
182,0,30
183,0,30
184,0,30
185,0,30
186,0,30
187,0,30
188,0,30
189,0,30
190,0,30
191,0,30
192,0,30
193,0,30
194,0,30
195,0,30
196,0,30
197,0,30
198,0,30
199,0,30
200,0,30
201,0,30
202,0,30
203,0,30
204,0,30
205,0,30
206,0,30
207,0,30
208,0,30
209,0,30
210,0,30
211,0,30
212,0,30
213,0,30
214,0,30
215,0,30
216,0,30
217,0,30
218,0,30
219,0,30
220,0,30
221,0,30
222,0,30
223,0,30
224,0,30
225,0,30
226,0,30
227,0,30
228,0,30
229,0,30
230,0,30
231,0,30
232,0,30
233,0,30
234,0,30
235,0,30
236,0,30
237,0,30
238,0,30
239,0,30
240,0,30
241,0,30
242,0,30
243,0,30
244,0,30
245,0,30
246,0,30
247,0,30
248,0,30
249,0,30
250,0,30
251,0,30
252,0,30
253,0,30
254,0,30
255,0,30
256,0,30
257,0,30
258,0,30
259,0,30
260,0,30
261,0,30
262,0,30
263,0,30
264,0,30
265,0,30
266,0,30
267,0,30
268,0,30
269,0,30
270,0,30
271,0,30
272,0,30
273,0,30
274,0,30
275,0,30
276,0,30
277,0,30
278,0,30
279,0,30
280,0,30
281,0,30
282,0,30
283,0,30
284,0,30
285,0,30
286,0,30
287,0,30
288,0,30
289,0,30
290,0,30
291,0,30
292,0,30
293,0,30
294,0,30
295,0,30
296,0,30
297,0,30
298,0,30
299,0,30
300,0,30
301,0,30
302,0,30
303,0,30
304,0,30
305,0,30
306,0,30
307,0,30
308,0,30
309,0,30
310,0,30
311,0,30
312,0,30
313,0,30
314,0,30
315,0,30
316,0,30
317,0,30
318,0,30
319,0,30
320,0,30
321,0,30
322,0,30
323,0,30
324,0,30
325,0,30
326,0,30
327,0,30
328,0,30
329,0,30
330,0,30
331,0,30
332,0,30
333,0,30
334,0,30
335,0,30
336,0,30
337,0,30
338,0,30
339,0,30
340,0,30
341,0,30
342,0,30
343,0,30
344,0,30
345,0,30
346,0,30
347,0,30
348,0,30
349,0,30
350,0,30
351,0,30
352,0,30
353,0,30
354,0,30
355,0,30
356,0,30
357,0,30
358,0,30
359,0,30
360,0,30
361,0,30
362,0,30
363,0,30
364,0,30
365,0,30
366,0,30
367,0,30
368,0,30
369,0,30
370,0,30
371,0,30
372,0,30
373,0,30
374,0,30
375,0,30
376,0,30
377,0,30
378,0,30
379,0,30
380,0,30
381,0,30
382,0,30
383,0,30
384,0,30
385,0,30
386,0,30
387,0,30
388,0,30
389,0,30
390,0,30
391,0,30
392,0,30
393,0,30
394,0,30
395,0,30
396,0,30
397,0,30
398,0,30
399,0,30
400,0,30
401,0,30
402,0,30
403,0,30
404,0,30
405,0,30
406,0,30
407,0,30
408,0,30
409,0,30
410,0,30
411,0,30
412,0,30
413,0,30
414,0,30
415,0,30
416,0,30
417,0,30
418,0,30
419,0,30
420,0,30
421,0,30
422,0,30
423,0,30
424,0,30
425,0,30
426,0,30
427,0,30
428,0,30
429,0,30
430,0,30
431,0,30
432,0,30
433,0,30
434,0,30
435,0,30
436,0,30
437,0,30
438,0,30
439,0,30
440,0,30
441,0,30
442,0,30
443,0,30
444,0,30
445,0,30
446,0,30
447,0,30
448,0,30
449,0,30
450,0,30
451,0,30
452,0,30
453,0,30
454,0,30
455,0,30
456,0,30
457,0,30
458,0,30
459,0,30
460,0,30
461,0,30
462,0,30
463,0,30
464,0,30
465,0,30
466,0,30
467,0,30
468,0,30
469,0,30
470,0,30
471,0,30
472,0,30
473,0,30
474,0,30
475,0,30
476,0,30
477,0,30
478,0,30
479,0,30
480,0,30
481,0,30
482,0,30
483,0,30
484,0,30
485,0,30
486,0,30
487,0,30
488,0,30
489,0,30
490,0,30
491,0,30
492,0,30
493,0,30
494,0,30
495,0,30
496,0,30
497,0,30
498,0,30
499,0,30
500,0,30
501,0,30
502,0,30
503,0,30
504,0,30
505,0,30
506,0,30
507,0,30
508,0,30
509,0,30
510,0,30
511,0,30
512,0,30
513,0,30
514,0,30
515,0,30
516,0,30
517,0,30
518,0,30
519,0,30
520,0,30
521,0,30
522,0,30
523,0,30
524,0,30
525,0,30
526,0,30
527,0,30
528,0,30
529,0,30
530,0,30
531,0,30
532,0,30
533,0,30
534,0,30
535,0,30
536,0,30
537,0,30
538,0,30
539,0,30
540,0,30
541,0,30
542,0,30
543,0,30
544,0,30
545,0,30
546,0,30
547,0,30
548,0,30
549,0,30
550,0,30
551,0,30
552,0,30
553,0,30
554,0,30
555,0,30
556,0,30
557,0,30
558,0,30
559,0,30
560,0,30
561,0,30
562,0,30
563,0,30
564,0,30
565,0,30
566,0,30
567,0,30
568,0,30
569,0,30
