Timestep,Oligomers,Aggregates
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,3
26,2,4
27,2,4
28,2,4
29,2,4
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,2,5
36,2,5
37,2,5
38,6,5
39,6,6
40,6,6
41,6,6
42,6,6
43,4,6
44,4,6
45,6,7
46,6,8
47,6,10
48,6,10
49,6,10
50,6,10
51,6,10
52,6,11
53,8,11
54,6,14
55,6,14
56,6,14
57,6,14
58,6,15
59,6,16
60,6,16
61,6,16
62,6,16
63,6,16
64,6,16
65,6,16
66,6,16
67,6,16
68,6,16
69,6,16
70,6,16
71,6,16
72,6,16
73,6,16
74,6,16
75,6,16
76,6,16
77,6,16
78,6,16
79,6,16
80,6,16
81,6,16
82,6,16
83,6,16
84,8,16
85,8,16
86,8,16
87,8,17
88,6,17
89,6,17
90,6,17
91,6,17
92,4,20
93,4,20
94,4,20
95,4,20
96,4,21
97,4,21
98,4,21
99,4,21
100,4,21
101,4,21
102,4,21
103,4,21
104,4,21
105,4,21
106,4,21
107,4,21
108,4,22
109,4,22
110,4,22
111,4,22
112,4,23
113,4,23
114,4,23
115,4,23
116,4,23
117,4,23
118,4,23
119,4,23
120,4,23
121,4,23
122,4,23
123,4,23
124,4,23
125,4,23
126,4,23
127,4,23
128,4,23
129,4,23
130,4,23
131,4,23
132,4,24
133,4,24
134,4,24
135,4,24
136,4,24
137,4,25
138,4,25
139,4,25
140,4,25
141,4,25
142,4,25
143,4,25
144,4,25
145,2,25
146,2,25
147,2,25
148,2,25
149,2,25
150,2,25
151,2,25
152,2,25
153,0,25
154,0,25
155,0,25
156,0,26
157,0,27
158,0,28
159,0,28
160,0,28
161,0,28
162,0,28
163,0,29
164,0,29
165,0,29
166,0,29
167,0,29
168,0,29
169,0,29
170,0,29
171,0,29
172,0,29
173,0,29
174,0,29
175,0,30
176,0,30
177,0,30
178,0,30
179,0,30
180,0,30
181,0,30
182,0,30
183,0,30
184,0,30
185,0,30
186,0,30
187,0,30
188,0,30
189,0,30
190,0,30
191,0,30
192,0,30
193,0,30
194,0,30
195,0,30
196,0,30
197,0,30
198,0,30
199,0,30
200,0,30
201,0,30
202,0,30
203,0,30
204,0,30
205,0,30
206,0,30
207,0,30
208,0,30
209,0,30
210,0,30
211,0,30
212,0,30
213,0,30
214,0,30
215,0,30
216,0,30
217,0,30
218,0,30
219,0,30
220,0,30
221,0,30
222,0,30
223,0,30
224,0,30
225,0,30
226,0,30
227,0,30
228,0,30
229,0,30
230,0,30
231,0,30
232,0,30
233,0,30
234,0,30
235,0,30
236,0,30
237,0,30
238,0,30
239,0,30
240,0,30
241,0,30
242,0,30
243,0,30
244,0,30
245,0,30
246,0,30
247,0,30
248,0,30
249,0,30
250,0,30
251,0,30
252,0,30
253,0,30
254,0,30
255,0,30
256,0,30
257,0,30
258,0,30
259,0,30
260,0,30
261,0,30
262,0,30
263,0,30
264,0,30
265,0,30
266,0,30
267,0,30
268,0,30
269,0,30
270,0,30
271,0,30
272,0,30
273,0,30
274,0,30
275,0,30
276,0,30
277,0,30
278,0,30
279,0,30
280,0,30
281,0,30
282,0,30
283,0,30
284,0,30
285,0,30
286,0,30
287,0,30
288,0,30
289,0,30
290,0,30
291,0,30
292,0,30
293,0,30
294,0,30
295,0,30
296,0,30
297,0,30
298,0,30
299,0,30
300,0,30
301,0,30
302,0,30
303,0,30
304,0,30
305,0,30
306,0,30
307,0,30
308,0,30
309,0,30
310,0,30
311,0,30
312,0,30
313,0,30
314,0,30
315,0,30
316,0,30
317,0,30
318,0,30
319,0,30
320,0,30
321,0,30
322,0,30
323,0,30
324,0,30
325,0,30
326,0,30
327,0,30
328,0,30
329,0,30
330,0,30
331,0,30
332,0,30
333,0,30
334,0,30
335,0,30
336,0,30
337,0,30
338,0,30
339,0,30
340,0,30
341,0,30
342,0,30
343,0,30
344,0,30
345,0,30
346,0,30
347,0,30
348,0,30
349,0,30
350,0,30
351,0,30
352,0,30
353,0,30
354,0,30
355,0,30
356,0,30
357,0,30
358,0,30
359,0,30
360,0,30
361,0,30
362,0,30
363,0,30
364,0,30
365,0,30
366,0,30
367,0,30
368,0,30
369,0,30
370,0,30
371,0,30
372,0,30
373,0,30
374,0,30
375,0,30
376,0,30
377,0,30
378,0,30
379,0,30
380,0,30
381,0,30
382,0,30
383,0,30
384,0,30
385,0,30
386,0,30
387,0,30
388,0,30
389,0,30
390,0,30
391,0,30
392,0,30
393,0,30
394,0,30
395,0,30
396,0,30
397,0,30
398,0,30
399,0,30
400,0,30
401,0,30
402,0,30
403,0,30
404,0,30
405,0,30
406,0,30
407,0,30
408,0,30
409,0,30
410,0,30
411,0,30
412,0,30
413,0,30
414,0,30
415,0,30
416,0,30
417,0,30
418,0,30
419,0,30
420,0,30
421,0,30
422,0,30
423,0,30
424,0,30
425,0,30
426,0,30
427,0,30
428,0,30
429,0,30
430,0,30
431,0,30
432,0,30
433,0,30
434,0,30
435,0,30
436,0,30
437,0,30
438,0,30
439,0,30
440,0,30
441,0,30
442,0,30
443,0,30
444,0,30
445,0,30
446,0,30
447,0,30
448,0,30
449,0,30
450,0,30
451,0,30
452,0,30
453,0,30
454,0,30
455,0,30
456,0,30
457,0,30
458,0,30
459,0,30
460,0,30
461,0,30
462,0,30
463,0,30
464,0,30
465,0,30
466,0,30
467,0,30
468,0,30
469,0,30
470,0,30
471,0,30
472,0,30
473,0,30
474,0,30
475,0,30
476,0,30
477,0,30
478,0,30
479,0,30
480,0,30
481,0,30
482,0,30
483,0,30
484,0,30
485,0,30
486,0,30
487,0,30
488,0,30
489,0,30
490,0,30
491,0,30
492,0,30
493,0,30
494,0,30
495,0,30
496,0,30
497,0,30
498,0,30
499,0,30
500,0,30
501,0,30
502,0,30
503,0,30
504,0,30
505,0,30
506,0,30
507,0,30
508,0,30
509,0,30
510,0,30
511,0,30
512,0,30
513,0,30
514,0,30
515,0,30
516,0,30
517,0,30
518,0,30
519,0,30
520,0,30
521,0,30
522,0,30
523,0,30
524,0,30
525,0,30
526,0,30
527,0,30
528,0,30
529,0,30
530,0,30
531,0,30
532,0,30
533,0,30
534,0,30
535,0,30
536,0,30
537,0,30
538,0,30
539,0,30
540,0,30
541,0,30
542,0,30
543,0,30
544,0,30
545,0,30
546,0,30
547,0,30
548,0,30
549,0,30
550,0,30
551,0,30
552,0,30
553,0,30
554,0,30
555,0,30
556,0,30
557,0,30
558,0,30
559,0,30
560,0,30
561,0,30
562,0,30
563,0,30
564,0,30
565,0,30
566,0,30
567,0,30
568,0,30
569,0,30
