Timesteps,Simulation_2026-04-07_20-16-25,Simulation_2026-04-07_20-16-59,Simulation_2026-04-07_20-17-01,Simulation_2026-04-07_20-17-03,Simulation_2026-04-07_20-17-04
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,3
10,0,0,0,0,3
11,0,0,0,3,3
12,0,0,0,3,4
13,0,0,0,3,4
14,0,0,0,3,4
15,0,0,0,4,4
16,0,3,0,4,4
17,0,4,0,6,4
18,0,4,0,6,4
19,0,5,0,6,5
20,0,5,0,6,5
21,0,5,0,6,5
22,0,5,0,6,5
23,0,5,0,6,5
24,0,5,0,6,5
25,0,5,0,7,5
26,0,5,0,7,5
27,0,8,0,7,5
28,0,8,0,7,5
29,0,8,0,7,6
30,0,8,0,7,6
31,0,9,0,8,6
32,0,9,0,8,6
33,0,9,0,8,6
34,0,9,0,8,6
35,0,9,0,8,6
36,0,10,0,8,6
37,0,12,0,9,7
38,0,12,0,9,7
39,0,12,0,9,7
40,0,12,0,9,8
41,0,13,0,12,8
42,0,13,0,12,8
43,0,13,0,13,9
44,3,13,0,14,9
45,3,13,0,14,10
46,3,15,0,14,11
47,3,15,0,14,12
48,3,15,0,14,12
49,3,16,4,14,12
50,3,16,4,16,13
51,3,18,4,17,13
52,3,18,4,18,13
53,3,19,4,18,14
54,3,19,4,18,14
55,3,21,4,19,15
56,3,21,4,19,15
57,3,21,4,19,15
58,4,21,4,19,15
59,4,21,5,19,15
60,4,21,5,19,15
61,4,21,8,19,15
62,4,22,8,19,16
63,4,23,8,19,17
64,4,24,8,19,18
65,4,24,8,19,18
66,4,24,9,20,18
67,4,24,9,20,18
68,4,25,10,20,18
69,4,25,10,20,18
70,5,25,13,20,18
71,8,25,14,20,18
72,8,25,14,20,18
73,8,25,14,21,19
74,8,26,14,21,19
75,10,26,15,21,20
76,10,26,16,21,20
77,10,26,16,21,21
78,11,26,16,21,21
79,11,26,16,21,21
80,11,26,16,22,21
81,13,26,17,22,21
82,13,26,17,22,21
83,14,26,19,22,21
84,15,26,20,22,21
85,16,26,20,22,21
86,16,26,20,22,21
87,16,26,21,22,21
88,16,26,21,22,21
89,16,26,21,23,21
90,16,26,21,23,21
91,16,26,21,23,22
92,16,26,21,23,23
93,17,26,21,23,23
94,17,26,21,23,23
95,18,27,21,23,23
96,19,27,21,23,23
97,19,27,21,23,23
98,19,27,21,23,23
99,19,27,21,24,23
100,20,27,21,24,23
101,20,27,21,24,23
102,21,27,21,24,23
103,21,27,21,24,23
104,22,27,21,24,23
105,22,27,21,24,23
106,23,27,21,24,23
107,23,27,21,24,23
108,23,27,21,24,23
109,23,27,21,24,23
110,23,27,21,24,23
111,23,27,21,24,23
112,23,27,21,25,23
113,23,27,21,25,23
114,23,27,21,25,23
115,23,27,21,25,23
116,23,27,21,25,23
117,23,27,21,25,23
118,23,27,21,25,23
119,23,27,21,25,24
120,23,27,21,25,24
121,23,27,22,25,25
122,23,28,22,25,25
123,24,28,22,25,26
124,24,28,22,25,26
125,24,28,22,25,26
126,24,28,22,25,26
127,24,28,22,25,26
128,24,28,22,25,26
129,24,28,22,25,26
130,24,28,22,25,26
131,24,28,22,25,26
132,24,28,22,25,26
133,24,28,22,25,26
134,24,28,22,25,26
135,24,28,22,25,26
136,24,28,22,25,26
137,24,28,22,25,26
138,24,28,23,25,26
139,24,28,23,25,26
140,24,28,23,25,26
141,24,28,23,25,26
142,24,28,23,25,26
143,24,28,23,25,26
144,24,28,23,25,26
145,24,28,23,25,26
146,24,28,23,25,26
147,24,28,23,25,26
148,24,28,23,25,26
149,24,28,23,25,26
150,24,28,23,25,26
151,24,28,24,25,26
152,24,28,24,25,26
153,24,28,24,25,26
154,24,28,24,25,26
155,24,28,24,25,26
156,24,28,24,25,26
157,24,28,24,25,26
158,24,28,24,25,26
159,24,28,24,25,26
160,24,28,24,25,26
161,24,28,24,25,26
162,24,28,24,25,26
163,24,28,24,25,26
164,24,28,24,25,26
165,24,28,24,25,26
166,24,28,24,25,26
167,24,28,24,25,26
168,24,28,24,25,26
169,24,28,24,25,26
170,24,28,24,25,26
171,24,28,24,25,26
172,24,28,24,25,26
173,24,28,24,25,26
174,24,28,24,25,26
175,24,28,24,25,26
176,24,28,24,25,26
177,24,28,24,25,26
178,24,28,24,25,26
179,24,28,24,25,26
180,24,28,24,25,26
181,24,28,24,25,26
182,24,28,24,25,26
183,24,28,24,26,26
184,24,28,24,26,26
185,24,28,24,26,26
186,24,28,24,26,26
187,24,28,24,26,26
188,24,28,24,26,26
189,24,28,24,26,26
190,24,28,24,26,26
191,24,28,24,26,26
192,24,28,24,26,26
193,24,28,24,26,26
194,24,28,24,26,26
195,24,28,24,26,26
196,24,28,24,26,26
197,24,28,24,26,26
198,24,28,24,26,26
199,24,28,24,26,26
200,24,28,24,26,26
201,24,28,24,26,26
202,24,28,24,26,26
203,24,28,24,26,26
204,24,28,24,26,26
205,24,28,24,26,26
206,24,28,24,26,26
207,24,28,24,26,26
208,24,28,24,26,26
209,24,28,24,26,26
210,24,28,24,26,26
211,24,28,24,26,26
212,24,28,24,26,26
213,24,28,24,26,26
214,24,28,24,26,26
215,24,28,24,26,26
216,24,28,24,26,26
217,24,28,24,26,26
218,24,28,24,26,26
219,24,28,24,26,26
220,24,28,24,26,26
221,24,28,24,26,26
222,24,28,24,26,26
223,24,28,24,26,26
224,24,28,24,26,26
225,24,28,24,26,26
226,24,28,24,26,26
227,24,28,24,26,26
228,24,28,24,26,26
229,24,28,24,26,26
230,24,28,24,26,26
231,24,28,24,26,26
232,24,28,24,26,26
233,24,28,24,26,26
234,24,28,24,26,26
235,24,28,24,26,26
236,24,28,24,26,26
237,24,28,24,26,26
238,24,28,24,26,26
239,24,28,24,26,26
240,24,28,24,26,26
241,24,28,24,26,26
242,24,28,24,26,26
243,24,28,24,26,26
244,24,28,24,26,26
245,24,28,24,26,26
246,24,28,24,26,26
247,24,28,24,26,26
248,24,28,24,26,26
249,24,28,24,26,26
250,24,28,24,26,26
251,24,28,24,26,26
252,24,28,24,26,26
253,24,28,24,26,26
254,24,28,24,26,26
255,24,28,24,26,26
256,24,28,24,26,26
257,24,28,24,26,26
258,24,28,24,26,26
259,24,28,24,26,26
260,24,28,24,26,26
261,24,28,24,26,26
262,24,28,24,26,26
263,24,28,24,26,26
264,24,28,24,26,26
265,24,28,24,26,26
266,24,28,24,26,26
267,24,28,24,26,26
268,24,28,24,26,26
269,24,28,24,26,26
270,24,28,24,26,26
271,24,28,24,26,26
272,24,28,24,26,26
273,24,28,24,26,26
274,24,28,24,26,26
275,24,28,24,26,26
276,24,28,24,26,26
277,24,28,24,26,26
278,24,28,24,26,26
279,24,28,24,26,26
280,24,28,24,26,26
281,24,28,24,26,26
282,24,28,24,26,26
283,24,28,24,26,26
284,24,28,24,26,26
285,24,28,24,26,26
286,24,28,24,26,26
287,24,28,24,26,26
288,24,28,24,26,26
289,24,28,24,26,26
290,24,28,24,26,26
291,24,28,24,26,26
292,24,28,24,26,26
293,24,28,24,26,26
294,24,28,24,26,26
295,24,28,24,26,26
296,24,28,24,26,26
297,24,28,24,26,26
298,24,28,24,26,26
299,24,28,24,26,26
300,24,28,24,26,26
301,24,28,24,26,26
302,24,28,24,26,26
303,24,28,24,26,26
304,24,28,24,26,26
305,24,28,24,26,26
306,24,28,24,26,26
307,24,28,24,26,26
308,24,28,24,26,26
309,24,28,24,26,26
310,24,28,24,26,26
311,24,28,24,26,26
312,24,28,24,26,26
313,24,28,24,26,26
314,24,28,24,26,26
315,24,28,24,26,26
316,24,28,24,26,26
317,24,28,24,26,26
318,24,28,24,26,26
319,24,28,24,26,26
320,24,28,24,26,26
321,24,28,24,26,26
322,24,28,24,26,26
323,24,28,24,26,26
324,24,28,24,26,26
325,24,28,24,26,26
326,24,28,24,26,26
327,24,28,24,26,26
328,24,28,24,26,26
329,24,28,24,26,26
330,24,28,24,26,26
331,24,28,24,26,26
332,24,28,24,26,26
333,24,28,24,26,26
334,24,28,24,26,26
335,24,28,24,26,26
336,24,28,24,26,26
337,24,28,24,26,26
338,24,28,24,26,26
339,24,28,24,26,26
340,24,28,24,26,26
341,24,28,24,26,26
342,24,28,24,26,26
343,24,28,24,26,26
344,24,28,24,26,26
345,24,28,24,26,26
346,24,28,24,26,26
347,24,28,24,26,26
348,24,28,24,26,26
349,24,28,24,26,26
350,24,28,24,26,26
351,24,28,24,26,26
352,24,28,24,26,26
353,24,28,24,26,26
354,24,28,24,26,26
355,24,28,24,26,26
356,24,28,24,26,26
357,24,28,24,26,26
358,24,28,24,26,26
359,24,28,24,26,26
360,24,28,24,26,26
361,24,28,24,26,26
362,24,28,24,26,26
363,24,28,24,26,26
364,24,28,24,26,26
365,24,28,24,26,26
366,24,28,24,26,26
367,24,28,24,26,26
368,24,28,24,26,26
369,24,28,24,26,26
370,24,28,24,26,26
371,24,28,24,26,26
372,24,28,24,26,26
373,24,28,24,26,26
