Timesteps,Simulation_2026-04-07_20-16-25,Simulation_2026-04-07_20-16-59,Simulation_2026-04-07_20-17-01,Simulation_2026-04-07_20-17-03,Simulation_2026-04-07_20-17-04
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,2,0,0
3,0,0,2,0,0
4,0,0,2,0,0
5,0,0,2,0,0
6,0,0,2,0,0
7,0,0,2,0,0
8,0,0,2,0,0
9,0,0,2,0,0
10,0,0,2,0,0
11,0,0,2,2,0
12,0,0,2,2,0
13,0,0,2,2,0
14,0,0,2,2,0
15,0,0,2,2,0
16,0,0,2,2,0
17,0,0,2,2,0
18,0,0,2,2,0
19,0,0,2,2,2
20,0,0,2,2,2
21,0,0,2,2,2
22,0,0,2,2,2
23,0,0,2,2,2
24,0,0,2,2,2
25,0,0,2,2,2
26,0,0,2,2,2
27,0,0,2,2,2
28,0,0,2,2,2
29,0,0,2,2,2
30,0,2,2,2,2
31,0,2,2,2,2
32,0,2,2,2,2
33,2,2,2,4,2
34,2,2,2,4,2
35,2,2,2,4,2
36,2,2,4,4,2
37,2,2,4,4,2
38,2,2,6,4,2
39,2,2,6,4,2
40,2,2,6,4,2
41,2,2,6,4,2
42,2,2,6,4,2
43,2,2,6,4,2
44,2,2,6,4,2
45,2,2,6,4,2
46,2,2,6,4,2
47,2,2,6,4,2
48,2,2,6,4,2
49,2,2,6,4,2
50,2,2,6,4,2
51,2,2,6,4,2
52,2,2,6,4,2
53,2,2,6,4,2
54,2,2,6,4,2
55,2,2,6,4,2
56,2,2,6,4,2
57,2,2,6,4,2
58,2,2,6,4,2
59,2,2,6,4,2
60,2,2,6,4,2
61,2,2,6,4,2
62,2,2,6,4,2
63,2,2,6,4,2
64,2,2,6,4,2
65,2,2,6,4,2
66,2,2,6,4,2
67,2,2,6,4,2
68,2,2,6,4,2
69,2,2,6,4,2
70,2,2,6,4,2
71,2,2,6,4,2
72,2,2,6,4,2
73,2,2,6,4,2
74,2,2,6,4,2
75,2,2,6,4,2
76,2,2,6,4,2
77,2,2,6,4,2
78,2,2,6,4,2
79,2,2,6,4,2
80,2,2,6,4,2
81,2,2,6,4,2
82,2,2,6,4,2
83,2,2,6,4,2
84,4,2,6,4,2
85,4,2,6,4,2
86,4,2,6,4,2
87,4,2,6,4,2
88,4,2,6,4,2
89,4,2,6,4,2
90,4,2,6,4,2
91,4,2,6,4,2
92,4,2,6,4,2
93,4,2,6,4,2
94,4,2,6,4,4
95,4,2,6,4,4
96,4,2,6,4,4
97,4,2,6,4,4
98,4,2,6,4,4
99,4,2,6,4,4
100,4,2,6,4,4
101,4,2,6,4,4
102,4,2,6,4,4
103,4,2,6,4,4
104,6,2,6,4,4
105,6,2,6,4,4
106,6,2,6,4,4
107,6,2,6,4,4
108,6,2,6,4,4
109,6,2,6,4,4
110,6,2,6,4,4
111,6,2,6,4,4
112,6,2,6,4,4
113,6,2,6,4,4
114,6,2,6,4,4
115,6,2,6,4,4
116,6,2,6,4,4
117,6,2,6,4,4
118,6,2,6,4,4
119,6,2,6,4,4
120,6,2,6,4,4
121,6,2,6,4,4
122,6,2,6,4,4
123,6,2,6,4,4
124,6,2,6,4,4
125,6,2,6,4,4
126,6,2,6,4,4
127,6,2,6,4,4
128,6,2,6,4,4
129,6,2,6,4,4
130,6,2,6,4,4
131,6,2,6,4,4
132,6,2,6,4,4
133,6,2,6,4,4
134,6,2,6,4,4
135,6,2,6,4,4
136,6,2,6,4,4
137,6,2,6,4,4
138,6,2,6,4,4
139,6,2,6,4,4
140,6,2,6,4,4
141,6,2,6,4,4
142,6,2,6,4,4
143,6,2,6,4,4
144,6,2,6,4,4
145,6,2,6,4,4
146,6,2,6,4,4
147,6,2,6,4,4
148,6,2,6,4,4
149,6,2,6,4,4
150,6,2,6,4,4
151,6,2,6,4,4
152,6,2,6,4,4
153,6,2,6,4,4
154,6,2,6,4,4
155,6,2,6,4,4
156,6,2,6,4,4
157,6,2,6,4,4
158,6,2,6,4,4
159,6,2,6,4,4
160,6,2,6,4,4
161,6,2,6,4,4
162,6,2,6,4,4
163,6,2,6,4,4
164,6,2,6,4,4
165,6,2,6,4,4
166,6,2,6,4,4
167,6,2,6,4,4
168,6,2,6,4,4
169,6,2,6,4,4
170,6,2,6,4,4
171,6,2,6,4,4
172,6,2,6,4,4
173,6,2,6,4,4
174,6,2,6,4,4
175,6,2,6,4,4
176,6,2,6,4,4
177,6,2,6,4,4
178,6,2,6,4,4
179,6,2,6,4,4
180,6,2,6,4,4
181,6,2,6,4,4
182,6,2,6,4,4
183,6,2,6,4,4
184,6,2,6,4,4
185,6,2,6,4,4
186,6,2,6,4,4
187,6,2,6,4,4
188,6,2,6,4,4
189,6,2,6,4,4
190,6,2,6,4,4
191,6,2,6,4,4
192,6,2,6,4,4
193,6,2,6,4,4
194,6,2,6,4,4
195,6,2,6,4,4
196,6,2,6,4,4
197,6,2,6,4,4
198,6,2,6,4,4
199,6,2,6,4,4
200,6,2,6,4,4
201,6,2,6,4,4
202,6,2,6,4,4
203,6,2,6,4,4
204,6,2,6,4,4
205,6,2,6,4,4
206,6,2,6,4,4
207,6,2,6,4,4
208,6,2,6,4,4
209,6,2,6,4,4
210,6,2,6,4,4
211,6,2,6,4,4
212,6,2,6,4,4
213,6,2,6,4,4
214,6,2,6,4,4
215,6,2,6,4,4
216,6,2,6,4,4
217,6,2,6,4,4
218,6,2,6,4,4
219,6,2,6,4,4
220,6,2,6,4,4
221,6,2,6,4,4
222,6,2,6,4,4
223,6,2,6,4,4
224,6,2,6,4,4
225,6,2,6,4,4
226,6,2,6,4,4
227,6,2,6,4,4
228,6,2,6,4,4
229,6,2,6,4,4
230,6,2,6,4,4
231,6,2,6,4,4
232,6,2,6,4,4
233,6,2,6,4,4
234,6,2,6,4,4
235,6,2,6,4,4
236,6,2,6,4,4
237,6,2,6,4,4
238,6,2,6,4,4
239,6,2,6,4,4
240,6,2,6,4,4
241,6,2,6,4,4
242,6,2,6,4,4
243,6,2,6,4,4
244,6,2,6,4,4
245,6,2,6,4,4
246,6,2,6,4,4
247,6,2,6,4,4
248,6,2,6,4,4
249,6,2,6,4,4
250,6,2,6,4,4
251,6,2,6,4,4
252,6,2,6,4,4
253,6,2,6,4,4
254,6,2,6,4,4
255,6,2,6,4,4
256,6,2,6,4,4
257,6,2,6,4,4
258,6,2,6,4,4
259,6,2,6,4,4
260,6,2,6,4,4
261,6,2,6,4,4
262,6,2,6,4,4
263,6,2,6,4,4
264,6,2,6,4,4
265,6,2,6,4,4
266,6,2,6,4,4
267,6,2,6,4,4
268,6,2,6,4,4
269,6,2,6,4,4
270,6,2,6,4,4
271,6,2,6,4,4
272,6,2,6,4,4
273,6,2,6,4,4
274,6,2,6,4,4
275,6,2,6,4,4
276,6,2,6,4,4
277,6,2,6,4,4
278,6,2,6,4,4
279,6,2,6,4,4
280,6,2,6,4,4
281,6,2,6,4,4
282,6,2,6,4,4
283,6,2,6,4,4
284,6,2,6,4,4
285,6,2,6,4,4
286,6,2,6,4,4
287,6,2,6,4,4
288,6,2,6,4,4
289,6,2,6,4,4
290,6,2,6,4,4
291,6,2,6,4,4
292,6,2,6,4,4
293,6,2,6,4,4
294,6,2,6,4,4
295,6,2,6,4,4
296,6,2,6,4,4
297,6,2,6,4,4
298,6,2,6,4,4
299,6,2,6,4,4
300,6,2,6,4,4
301,6,2,6,4,4
302,6,2,6,4,4
303,6,2,6,4,4
304,6,2,6,4,4
305,6,2,6,4,4
306,6,2,6,4,4
307,6,2,6,4,4
308,6,2,6,4,4
309,6,2,6,4,4
310,6,2,6,4,4
311,6,2,6,4,4
312,6,2,6,4,4
313,6,2,6,4,4
314,6,2,6,4,4
315,6,2,6,4,4
316,6,2,6,4,4
317,6,2,6,4,4
318,6,2,6,4,4
319,6,2,6,4,4
320,6,2,6,4,4
321,6,2,6,4,4
322,6,2,6,4,4
323,6,2,6,4,4
324,6,2,6,4,4
325,6,2,6,4,4
326,6,2,6,4,4
327,6,2,6,4,4
328,6,2,6,4,4
329,6,2,6,4,4
330,6,2,6,4,4
331,6,2,6,4,4
332,6,2,6,4,4
333,6,2,6,4,4
334,6,2,6,4,4
335,6,2,6,4,4
336,6,2,6,4,4
337,6,2,6,4,4
338,6,2,6,4,4
339,6,2,6,4,4
340,6,2,6,4,4
341,6,2,6,4,4
342,6,2,6,4,4
343,6,2,6,4,4
344,6,2,6,4,4
345,6,2,6,4,4
346,6,2,6,4,4
347,6,2,6,4,4
348,6,2,6,4,4
349,6,2,6,4,4
350,6,2,6,4,4
351,6,2,6,4,4
352,6,2,6,4,4
353,6,2,6,4,4
354,6,2,6,4,4
355,6,2,6,4,4
356,6,2,6,4,4
357,6,2,6,4,4
358,6,2,6,4,4
359,6,2,6,4,4
360,6,2,6,4,4
361,6,2,6,4,4
362,6,2,6,4,4
363,6,2,6,4,4
364,6,2,6,4,4
365,6,2,6,4,4
366,6,2,6,4,4
367,6,2,6,4,4
368,6,2,6,4,4
369,6,2,6,4,4
370,6,2,6,4,4
371,6,2,6,4,4
372,6,2,6,4,4
373,6,2,6,4,4
