Timestep,Oligomers,Aggregates
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,2,0
7,2,0
8,2,0
9,2,0
10,4,0
11,0,3
12,0,3
13,0,3
14,0,3
15,0,4
16,0,4
17,0,6
18,0,6
19,0,6
20,0,6
21,0,6
22,0,6
23,4,6
24,4,6
25,4,7
26,4,7
27,4,7
28,4,7
29,4,7
30,4,7
31,4,8
32,4,8
33,2,8
34,2,8
35,2,8
36,2,8
37,2,9
38,2,9
39,2,9
40,2,9
41,0,12
42,0,12
43,0,13
44,0,14
45,0,14
46,0,14
47,0,14
48,0,14
49,0,14
50,0,16
51,0,17
52,0,18
53,0,18
54,0,18
55,0,19
56,0,19
57,0,19
58,0,19
59,0,19
60,0,19
61,0,19
62,0,19
63,0,19
64,0,19
65,0,19
66,0,20
67,0,20
68,0,20
69,0,20
70,0,20
71,0,20
72,0,20
73,0,21
74,0,21
75,0,21
76,0,21
77,0,21
78,0,21
79,0,21
80,0,22
81,0,22
82,0,22
83,0,22
84,0,22
85,0,22
86,0,22
87,0,22
88,0,22
89,0,23
90,0,23
91,0,23
92,0,23
93,0,23
94,0,23
95,0,23
96,0,23
97,0,23
98,0,23
99,0,24
100,0,24
101,0,24
102,0,24
103,0,24
104,0,24
105,0,24
106,0,24
107,0,24
108,0,24
109,0,24
110,0,24
111,0,24
112,0,25
113,0,25
114,0,25
115,0,25
116,0,25
117,0,25
118,0,25
119,0,25
120,0,25
121,0,25
122,0,25
123,0,25
124,0,25
125,0,25
126,0,25
127,0,25
128,0,25
129,0,25
130,0,25
131,0,25
132,0,25
133,0,25
134,0,25
135,0,25
136,0,25
137,0,25
138,0,25
139,0,25
140,0,25
141,0,25
142,0,25
143,0,25
144,0,25
145,0,25
146,0,25
147,0,25
148,0,25
149,0,25
150,0,25
151,0,25
152,0,25
153,0,25
154,0,25
155,0,25
156,0,25
157,0,25
158,0,25
159,0,25
160,0,25
161,0,25
162,0,25
163,0,25
164,0,25
165,0,25
166,0,25
167,0,25
168,0,25
169,0,25
170,0,25
171,0,25
172,0,25
173,0,25
174,0,25
175,0,25
176,0,25
177,0,25
178,0,25
179,0,25
180,0,25
181,0,25
182,0,25
183,0,26
184,0,26
185,0,26
186,0,26
187,0,26
188,0,26
189,0,26
190,0,26
191,0,26
192,0,26
193,0,26
194,0,26
195,0,26
196,0,26
197,0,26
198,0,26
199,0,26
200,0,26
201,0,26
202,0,26
203,0,26
204,0,26
205,0,26
206,0,26
207,0,26
208,0,26
209,0,26
210,0,26
211,0,26
212,0,26
213,0,26
214,0,26
215,0,26
216,0,26
217,0,26
218,0,26
219,0,26
220,0,26
221,0,26
222,0,26
223,0,26
224,0,26
225,0,26
226,0,26
227,0,26
228,0,26
229,0,26
230,0,26
231,0,26
232,0,26
233,0,26
234,0,26
235,0,26
236,0,26
237,0,26
238,0,26
239,0,26
240,0,26
241,0,26
242,0,26
243,0,26
244,0,26
245,0,26
246,0,26
247,0,26
248,0,26
249,0,26
250,0,26
251,0,26
252,0,26
253,0,26
254,0,26
255,0,26
256,0,26
257,0,26
258,0,26
259,0,26
260,0,26
261,0,26
262,0,26
263,0,26
264,0,26
265,0,26
266,0,26
267,0,26
268,0,26
269,0,26
270,0,26
271,0,26
272,0,26
273,0,26
274,0,26
275,0,26
276,0,26
277,0,26
278,0,26
279,0,26
280,0,26
281,0,26
282,0,26
283,0,26
284,0,26
285,0,26
286,0,26
287,0,26
288,0,26
289,0,26
290,0,26
291,0,26
292,0,26
293,0,26
294,0,26
295,0,26
296,0,26
297,0,26
298,0,26
299,0,26
300,0,26
301,0,26
302,0,26
303,0,26
304,0,26
305,0,26
306,0,26
307,0,26
308,0,26
309,0,26
310,0,26
311,0,26
312,0,26
313,0,26
314,0,26
315,0,26
316,0,26
317,0,26
318,0,26
319,0,26
320,0,26
321,0,26
322,0,26
323,0,26
324,0,26
325,0,26
326,0,26
327,0,26
328,0,26
329,0,26
330,0,26
331,0,26
332,0,26
333,0,26
334,0,26
335,0,26
336,0,26
337,0,26
338,0,26
339,0,26
340,0,26
341,0,26
342,0,26
343,0,26
344,0,26
345,0,26
346,0,26
347,0,26
348,0,26
349,0,26
350,0,26
351,0,26
352,0,26
353,0,26
354,0,26
355,0,26
356,0,26
357,0,26
358,0,26
359,0,26
360,0,26
361,0,26
362,0,26
363,0,26
364,0,26
365,0,26
366,0,26
367,0,26
368,0,26
369,0,26
370,0,26
371,0,26
372,0,26
373,0,26
374,0,26
375,0,26
376,0,26
377,0,26
378,0,26
379,0,26
380,0,26
381,0,26
382,0,26
383,0,26
384,0,26
385,0,26
386,0,26
387,0,26
388,0,26
389,0,26
390,0,26
391,0,26
392,0,26
393,0,26
394,0,26
395,0,26
396,0,26
397,0,26
398,0,26
399,0,26
400,0,26
401,0,26
402,0,26
403,0,26
404,0,26
405,0,26
406,0,26
407,0,26
408,0,26
409,0,26
410,0,26
411,0,26
412,0,26
413,0,26
414,0,26
415,0,26
416,0,26
417,0,26
418,0,26
419,0,26
420,0,26
421,0,26
422,0,26
423,0,26
424,0,26
425,0,26
426,0,26
427,0,26
428,0,26
429,0,26
430,0,26
431,0,26
432,0,26
433,0,26
434,0,26
435,0,26
436,0,26
437,0,26
438,0,26
439,0,26
440,0,26
441,0,26
442,0,26
443,0,26
444,0,26
445,0,26
446,0,26
447,0,26
448,0,26
449,0,26
450,0,26
451,0,26
452,0,26
453,0,26
454,0,26
455,0,26
456,0,26
457,0,26
458,0,26
459,0,26
460,0,26
461,0,26
462,0,26
463,0,26
464,0,26
465,0,26
466,0,26
467,0,26
468,0,26
469,0,26
470,0,26
471,0,26
472,0,26
473,0,26
474,0,26
475,0,26
476,0,26
477,0,26
478,0,26
479,0,26
480,0,26
481,0,26
482,0,26
483,0,26
484,0,26
485,0,26
486,0,26
487,0,26
488,0,26
489,0,26
490,0,26
491,0,26
492,0,26
493,0,26
494,0,26
495,0,26
496,0,26
497,0,26
498,0,26
499,0,26
500,0,26
501,0,26
502,0,26
503,0,26
504,0,26
505,0,26
506,0,26
507,0,26
508,0,26
509,0,26
510,0,26
511,0,26
512,0,26
513,0,26
514,0,26
515,0,26
516,0,26
517,0,26
518,0,26
519,0,26
520,0,26
521,0,26
522,0,26
523,0,26
524,0,26
525,0,26
526,0,26
527,0,26
528,0,26
529,0,26
530,0,26
531,0,26
532,0,26
533,0,26
534,0,26
535,0,26
536,0,26
537,0,26
538,0,26
539,0,26
540,0,26
541,0,26
542,0,26
543,0,26
544,0,26
545,0,26
546,0,26
547,0,26
548,0,26
549,0,26
550,0,26
551,0,26
552,0,26
553,0,26
554,0,26
555,0,26
556,0,26
557,0,26
558,0,26
559,0,26
560,0,26
561,0,26
562,0,26
563,0,26
564,0,26
565,0,26
566,0,26
567,0,26
568,0,26
569,0,26
