Timesteps,Simulation_2026-03-20_09-58-37,Simulation_2026-03-20_09-58-40,Simulation_2026-03-20_09-58-42,Simulation_2026-03-20_09-58-43,Simulation_2026-03-20_09-58-45
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,3,0
14,0,0,0,3,0
15,0,0,0,4,0
16,0,0,0,4,0
17,0,0,0,4,0
18,0,0,0,4,0
19,0,0,0,4,0
20,0,0,0,4,0
21,0,0,0,4,0
22,0,0,0,4,3
23,0,0,0,4,3
24,0,0,0,4,3
25,0,0,0,4,3
26,0,0,0,4,4
27,0,0,0,4,5
28,0,0,0,4,5
29,0,0,0,4,6
30,0,0,3,4,6
31,0,0,3,4,6
32,0,0,3,5,6
33,0,0,3,6,6
34,0,0,3,6,6
35,0,0,3,6,7
36,0,0,3,6,8
37,0,0,3,6,12
38,0,0,3,6,14
39,0,0,3,6,14
40,0,0,4,7,14
41,0,0,4,7,14
42,0,0,4,7,15
43,0,0,4,8,15
44,0,0,4,8,15
45,0,0,4,10,16
46,0,0,4,12,17
47,0,0,4,12,18
48,0,0,4,12,18
49,0,0,5,15,18
50,0,3,5,15,18
51,0,3,5,15,20
52,3,3,5,15,20
53,3,5,8,15,20
54,3,8,9,15,21
55,3,9,9,15,21
56,3,10,9,15,21
57,3,10,9,16,21
58,3,10,9,16,21
59,3,12,9,16,21
60,3,13,9,16,22
61,3,13,9,16,22
62,3,13,9,16,22
63,3,14,10,16,23
64,3,15,11,16,23
65,3,15,11,16,23
66,4,15,12,19,23
67,5,16,12,19,23
68,5,17,12,19,23
69,5,17,12,22,24
70,5,17,12,22,24
71,5,17,12,22,24
72,5,17,12,23,24
73,5,17,13,23,24
74,5,17,13,23,24
75,5,17,14,23,24
76,5,17,14,23,24
77,5,17,14,23,24
78,6,17,14,23,24
79,7,18,14,24,24
80,8,19,16,24,24
81,9,19,16,24,24
82,10,20,16,24,24
83,11,20,18,24,24
84,13,21,19,24,24
85,13,22,19,25,25
86,13,22,19,25,25
87,13,22,19,25,26
88,14,22,20,25,26
89,14,22,21,25,27
90,14,22,21,25,27
91,14,23,21,27,27
92,14,23,21,27,27
93,14,23,21,27,27
94,14,23,21,27,28
95,14,23,22,27,28
96,14,23,22,27,28
97,14,23,22,27,28
98,15,23,22,27,28
99,16,24,22,27,28
100,16,24,22,27,28
101,16,24,22,27,28
102,16,24,23,28,29
103,19,24,24,28,29
104,19,24,24,28,29
105,19,24,24,28,29
106,20,24,24,29,29
107,21,24,24,29,29
108,21,24,24,29,29
109,21,24,24,29,29
110,21,24,24,29,29
111,21,24,24,29,29
112,21,24,24,29,29
113,21,24,24,29,29
114,22,24,24,29,29
115,22,24,24,29,29
116,22,24,24,29,29
117,22,24,24,29,29
118,22,24,24,29,29
119,22,24,24,29,30
120,23,24,24,29,30
121,23,24,24,29,30
122,23,25,24,29,30
123,23,26,24,29,30
124,23,26,24,29,30
125,24,26,24,29,30
126,24,26,24,29,30
127,24,26,24,29,30
128,24,26,24,29,30
129,24,26,24,30,30
130,24,26,24,30,30
131,24,26,24,30,30
132,24,26,24,30,30
133,24,26,24,30,30
134,24,26,24,30,30
135,25,26,24,30,30
136,25,26,24,30,30
137,25,26,24,30,30
138,25,26,24,30,30
139,25,26,24,30,30
140,26,26,24,30,30
141,26,26,24,30,30
142,26,26,24,30,30
143,26,26,24,30,30
144,26,26,24,30,30
145,26,26,24,30,30
146,26,26,24,30,30
147,26,26,24,30,30
148,26,26,24,30,30
149,26,26,24,30,30
150,26,26,24,30,30
151,26,26,24,30,30
152,26,26,24,30,30
153,26,26,24,30,30
154,26,26,24,30,30
155,26,26,24,30,30
156,26,26,24,30,30
157,26,26,24,30,30
158,26,26,24,30,30
159,26,26,24,30,30
160,26,26,24,30,30
161,26,26,24,30,30
162,26,26,24,30,30
163,26,26,24,30,30
164,26,26,24,30,30
165,26,26,24,30,30
166,26,26,24,30,30
167,26,26,24,30,30
168,26,26,24,30,30
169,26,26,24,30,30
170,26,26,24,30,30
171,26,26,24,30,30
172,26,26,24,30,30
173,26,26,24,30,30
174,26,26,24,30,30
175,26,26,24,30,30
176,26,26,24,30,30
177,26,26,24,30,30
178,26,26,24,30,30
179,26,26,24,30,30
180,26,26,24,30,30
181,26,26,24,30,30
182,26,26,24,30,30
183,26,26,24,30,30
184,26,26,24,30,30
185,26,26,24,30,30
186,26,26,24,30,30
187,26,26,24,30,30
188,26,26,24,30,30
189,26,26,24,30,30
190,26,26,24,30,30
191,26,26,24,30,30
192,26,26,24,30,30
193,26,26,24,30,30
194,26,26,24,30,30
195,26,26,24,30,30
196,26,26,24,30,30
197,26,26,24,30,30
198,26,26,24,30,30
199,26,26,24,30,30
200,26,26,24,30,30
201,26,26,24,30,30
202,26,26,24,30,30
203,26,26,24,30,30
204,26,26,24,30,30
205,26,26,24,30,30
206,26,26,24,30,30
207,26,26,24,30,30
208,26,26,24,30,30
209,26,26,24,30,30
210,26,26,24,30,30
211,26,26,24,30,30
212,26,26,24,30,30
213,26,26,24,30,30
214,26,26,24,30,30
215,26,26,24,30,30
216,26,26,24,30,30
217,26,26,24,30,30
218,26,26,24,30,30
219,26,26,24,30,30
220,26,26,24,30,30
221,26,26,24,30,30
222,26,26,24,30,30
223,26,26,24,30,30
224,26,26,24,30,30
225,26,26,24,30,30
226,26,26,24,30,30
227,26,26,24,30,30
228,26,26,24,30,30
229,26,26,24,30,30
230,26,26,24,30,30
231,26,26,24,30,30
232,26,26,24,30,30
233,26,26,24,30,30
234,26,26,24,30,30
235,26,26,24,30,30
236,26,26,24,30,30
237,26,26,24,30,30
238,26,26,24,30,30
239,26,26,24,30,30
240,26,26,24,30,30
241,26,26,24,30,30
242,26,26,24,30,30
243,26,26,24,30,30
244,26,26,24,30,30
245,26,26,24,30,30
246,26,26,24,30,30
247,26,26,24,30,30
248,26,26,24,30,30
249,26,26,24,30,30
250,26,26,24,30,30
251,26,26,24,30,30
252,26,26,24,30,30
253,26,26,24,30,30
254,26,26,24,30,30
255,26,26,24,30,30
256,26,26,24,30,30
257,26,26,24,30,30
258,26,26,24,30,30
259,26,26,24,30,30
260,26,26,24,30,30
261,26,26,24,30,30
262,26,26,24,30,30
263,26,26,24,30,30
264,26,26,24,30,30
265,26,26,24,30,30
266,26,26,24,30,30
267,26,26,24,30,30
268,26,26,24,30,30
269,26,26,24,30,30
270,26,26,24,30,30
271,26,26,24,30,30
272,26,26,24,30,30
273,26,26,24,30,30
274,26,26,24,30,30
275,26,26,24,30,30
276,26,26,24,30,30
277,26,26,24,30,30
278,26,26,24,30,30
279,26,26,24,30,30
280,26,26,24,30,30
281,26,26,24,30,30
282,26,26,24,30,30
283,26,26,24,30,30
284,26,26,24,30,30
285,26,26,24,30,30
286,26,26,24,30,30
287,26,26,24,30,30
288,26,26,24,30,30
289,26,26,24,30,30
290,26,26,24,30,30
291,26,26,24,30,30
292,26,26,24,30,30
293,26,26,24,30,30
294,26,26,24,30,30
295,26,26,24,30,30
296,26,26,24,30,30
297,26,26,24,30,30
298,26,26,24,30,30
299,26,26,24,30,30
300,26,26,24,30,30
301,26,26,24,30,30
302,26,26,24,30,30
303,26,26,24,30,30
304,26,26,24,30,30
305,26,26,24,30,30
306,26,26,24,30,30
307,26,26,24,30,30
308,26,26,24,30,30
309,26,26,24,30,30
310,26,26,24,30,30
311,26,26,24,30,30
312,26,26,24,30,30
313,26,26,24,30,30
314,26,26,24,30,30
315,26,26,24,30,30
316,26,26,24,30,30
317,26,26,24,30,30
318,26,26,24,30,30
319,26,26,24,30,30
320,26,26,24,30,30
321,26,26,24,30,30
322,26,26,24,30,30
323,26,26,24,30,30
324,26,26,24,30,30
325,26,26,24,30,30
326,26,26,24,30,30
327,26,26,24,30,30
328,26,26,24,30,30
329,26,26,24,30,30
330,26,26,24,30,30
331,26,26,24,30,30
332,26,26,24,30,30
333,26,26,24,30,30
334,26,26,24,30,30
335,26,26,24,30,30
336,26,26,24,30,30
337,26,26,24,30,30
338,26,26,24,30,30
339,26,26,24,30,30
340,26,26,24,30,30
341,26,26,24,30,30
342,26,26,24,30,30
343,26,26,24,30,30
344,26,26,24,30,30
345,26,26,24,30,30
346,26,26,24,30,30
347,26,26,24,30,30
348,26,26,24,30,30
349,26,26,24,30,30
350,26,26,24,30,30
351,26,26,24,30,30
352,26,26,24,30,30
353,26,26,24,30,30
354,26,26,24,30,30
355,26,26,24,30,30
356,26,26,24,30,30
357,26,26,24,30,30
358,26,26,24,30,30
359,26,26,24,30,30
360,26,26,24,30,30
361,26,26,24,30,30
362,26,26,24,30,30
363,26,26,24,30,30
364,26,26,24,30,30
365,26,26,24,30,30
366,26,26,24,30,30
367,26,26,24,30,30
368,26,26,24,30,30
369,26,26,24,30,30
370,26,26,24,30,30
371,26,26,24,30,30
372,26,26,24,30,30
373,26,26,24,30,30
