Timesteps,Simulation_8:26:2025 Time 12-36-33.387 PM,Simulation_8:26:2025 Time 12-36-42.792 PM
0,0,0
1,4,0
2,11,6
3,14,7
4,15,14
5,15,14
6,18,14
7,19,14
8,20,16
9,21,17
10,21,17
11,21,17
12,22,18
13,22,18
14,23,18
15,23,19
16,23,20
17,23,20
18,23,20
19,24,20
20,24,20
21,24,20
22,24,20
23,24,20
24,24,20
25,24,20
26,24,20
27,24,20
28,24,20
29,24,20
30,24,20
31,24,20
32,24,20
33,24,20
34,24,20
35,24,20
36,24,20
37,24,20
38,24,20
39,24,20
40,24,20
41,24,20
42,24,20
43,24,20
44,24,20
45,24,20
46,24,20
47,24,20
48,24,20
49,24,20
50,24,20
51,24,20
52,24,20
53,24,20
54,24,20
55,24,20
56,24,20
57,24,20
58,24,20
59,24,20
60,24,20
61,24,20
62,24,20
63,24,20
64,24,20
65,24,20
66,24,20
67,24,20
68,24,20
69,24,20
70,24,20
71,24,20
72,24,20
73,24,20
74,24,20
75,24,20
76,24,20
77,24,20
78,24,20
79,24,20
80,24,20
81,24,20
82,24,20
83,24,20
84,24,20
85,24,20
86,24,20
87,24,20
88,24,20
89,24,20
90,24,20
91,24,20
92,24,20
93,24,20
94,24,20
95,24,20
96,24,20
97,24,20
98,24,20
99,24,20
100,24,20
101,24,20
102,24,20
103,24,20
104,24,20
105,24,20
106,24,20
107,24,20
108,24,20
109,24,20
110,24,20
111,24,20
112,24,20
113,24,20
114,24,20
115,24,20
116,24,20
117,24,20
118,24,20
119,24,20
120,24,20
121,24,20
122,24,20
123,24,20
124,24,20
125,24,20
126,24,20
127,24,20
128,24,20
129,24,20
130,24,20
131,24,20
132,24,20
133,24,20
134,24,20
135,24,20
136,24,20
137,24,20
138,24,20
139,24,20
140,24,20
141,24,20
142,24,20
143,24,20
144,24,20
145,24,20
146,24,20
147,24,20
148,24,20
149,24,20
150,24,20
151,24,20
152,24,20
153,24,20
154,24,20
155,24,20
156,24,20
157,24,20
158,24,20
159,24,20
160,24,20
161,24,20
162,24,20
163,24,20
164,24,20
165,24,20
166,24,20
167,24,20
168,24,20
169,24,20
170,24,20
171,24,20
172,24,20
173,24,20
174,24,20
175,24,20
176,24,20
177,24,20
178,24,20
179,24,20
180,24,20
181,24,20
182,24,20
183,24,20
184,24,20
185,24,20
186,24,20
187,24,20
188,24,20
189,24,20
190,24,20
191,24,20
192,24,20
193,24,20
194,24,20
195,24,20
196,24,20
197,24,20
198,24,20
199,24,20
200,24,20
