Timesteps,Simulation_8:26:2025 Time 12-36-33.387 PM,Simulation_8:26:2025 Time 12-36-42.792 PM
0,0,0
1,0,0
2,2,0
3,2,2
4,4,2
5,6,4
6,6,4
7,6,6
8,6,8
9,6,10
10,6,10
11,6,10
12,6,10
13,6,10
14,6,10
15,6,10
16,6,10
17,6,10
18,6,10
19,6,10
20,6,10
21,6,10
22,6,10
23,6,10
24,6,10
25,6,10
26,6,10
27,6,10
28,6,10
29,6,10
30,6,10
31,6,10
32,6,10
33,6,10
34,6,10
35,6,10
36,6,10
37,6,10
38,6,10
39,6,10
40,6,10
41,6,10
42,6,10
43,6,10
44,6,10
45,6,10
46,6,10
47,6,10
48,6,10
49,6,10
50,6,10
51,6,10
52,6,10
53,6,10
54,6,10
55,6,10
56,6,10
57,6,10
58,6,10
59,6,10
60,6,10
61,6,10
62,6,10
63,6,10
64,6,10
65,6,10
66,6,10
67,6,10
68,6,10
69,6,10
70,6,10
71,6,10
72,6,10
73,6,10
74,6,10
75,6,10
76,6,10
77,6,10
78,6,10
79,6,10
80,6,10
81,6,10
82,6,10
83,6,10
84,6,10
85,6,10
86,6,10
87,6,10
88,6,10
89,6,10
90,6,10
91,6,10
92,6,10
93,6,10
94,6,10
95,6,10
96,6,10
97,6,10
98,6,10
99,6,10
100,6,10
101,6,10
102,6,10
103,6,10
104,6,10
105,6,10
106,6,10
107,6,10
108,6,10
109,6,10
110,6,10
111,6,10
112,6,10
113,6,10
114,6,10
115,6,10
116,6,10
117,6,10
118,6,10
119,6,10
120,6,10
121,6,10
122,6,10
123,6,10
124,6,10
125,6,10
126,6,10
127,6,10
128,6,10
129,6,10
130,6,10
131,6,10
132,6,10
133,6,10
134,6,10
135,6,10
136,6,10
137,6,10
138,6,10
139,6,10
140,6,10
141,6,10
142,6,10
143,6,10
144,6,10
145,6,10
146,6,10
147,6,10
148,6,10
149,6,10
150,6,10
151,6,10
152,6,10
153,6,10
154,6,10
155,6,10
156,6,10
157,6,10
158,6,10
159,6,10
160,6,10
161,6,10
162,6,10
163,6,10
164,6,10
165,6,10
166,6,10
167,6,10
168,6,10
169,6,10
170,6,10
171,6,10
172,6,10
173,6,10
174,6,10
175,6,10
176,6,10
177,6,10
178,6,10
179,6,10
180,6,10
181,6,10
182,6,10
183,6,10
184,6,10
185,6,10
186,6,10
187,6,10
188,6,10
189,6,10
190,6,10
191,6,10
192,6,10
193,6,10
194,6,10
195,6,10
196,6,10
197,6,10
198,6,10
199,6,10
200,6,10
