Timestep,Native,AggregateProne
0,20,20
1,3,31
2,2,22
3,2,13
4,1,12
5,3,8
6,0,4
7,0,4
8,0,3
9,0,3
10,0,1
11,0,1
12,0,1
13,1,0
14,0,1
15,0,1
16,0,0
17,0,1
18,0,0
19,0,2
20,0,2
21,0,2
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,2
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,2
86,1,1
87,0,2
88,0,2
89,0,1
90,0,1
91,0,1
92,0,1
93,1,0
94,0,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,0,1
