Timestep,Oligomers,Aggregates
0,0,0
1,6,0
2,16,0
3,10,15
4,6,21
5,8,21
6,14,22
7,14,22
8,12,25
9,12,25
10,12,27
11,12,27
12,12,27
13,12,27
14,12,27
15,12,27
16,10,30
17,8,31
18,8,32
19,6,32
20,6,32
21,6,32
22,6,33
23,6,33
24,6,33
25,6,33
26,6,33
27,6,33
28,6,33
29,6,34
30,6,34
31,6,34
32,6,34
33,6,34
34,6,34
35,6,34
36,6,34
37,6,34
38,6,34
39,6,34
40,6,34
41,6,34
42,6,34
43,6,34
44,6,34
45,6,34
46,6,34
47,6,34
48,6,34
49,6,34
50,6,34
51,6,34
52,6,34
53,6,34
54,6,34
55,6,34
56,6,34
57,6,34
58,6,34
59,6,34
60,6,34
61,6,34
62,6,34
63,6,34
64,6,34
65,6,34
66,6,34
67,6,34
68,4,34
69,4,35
70,4,35
71,4,35
72,4,35
73,4,35
74,4,35
75,4,35
76,4,35
77,4,36
78,4,36
79,4,36
80,4,36
81,4,36
82,4,36
83,4,36
84,4,36
85,2,36
86,2,36
87,2,36
88,2,36
89,0,39
90,0,39
91,0,39
92,0,39
93,0,39
94,0,39
95,0,39
96,0,39
97,0,39
98,0,39
99,0,39
100,0,39
